[2026-04-18 18:36:43,481] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,497] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,497] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,515] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,515] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,529] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,530] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,547] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,547] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,563] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,564] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,580] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,581] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,597] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
[2026-04-18 18:36:43,598] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: plant_list_view | Path: /api/v1/plants/
